strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,expiry_date,direction,active,personal_acc,parameter_5,value_5
BOLL_BAND_REVERSION_FXS,0.8,period,15,kstd,2.25,atr_period,5,stop_range,2,35,2024-01-27 02:37:10.076313-05,2024-01-27 02:37:10.076313-05,FXS,BOLL_BAND_REVERSION,2024-12-27 00:00:00-05,long,t,t,,
BOLL_BAND_MOMENTUM_WEMIX,0.86,period,35,kstd,3,atr_period,5,stop_range,2,37,2024-01-27 07:28:20.260492-05,2024-01-27 07:28:20.260492-05,WEMIX,BOLL_BAND_MOMENTUM,2024-10-29 01:00:00-04,long,t,t,,
BOLL_BAND_MOMENTUM_EGLD,0.7,period,15,kstd,1.75,atr_period,5,stop_range,2,38,2024-01-27 07:37:00.478716-05,2024-01-27 07:37:00.478716-05,EGLD,BOLL_BAND_MOMENTUM,2024-09-04 01:00:00-04,long,t,,,
SMA_CROSSOVER_WBTC,0.67,slowLength,35,fastLength,30,atr_period,5,stop_range,3,41,2024-01-27 08:25:13.071859-05,2024-01-27 08:25:13.071859-05,WBTC,SMA_CROSSOVER,2024-01-30 00:00:00-05,long,t,t,,
BOLL_BAND_MOMENTUM_CAKE,0.49,period,25,kstd,1.25,atr_period,5,stop_range,2,36,2024-01-27 07:24:04.761029-05,2024-01-27 07:24:04.761029-05,CAKE,BOLL_BAND_MOMENTUM,2024-09-29 01:00:00-04,long,t,,,
BOLL_BAND_REVERSION_BNB,0.82,period,25,kstd,1.75,atr_period,10,stop_range,4,33,2024-01-27 02:13:21.488163-05,2024-01-27 02:13:21.488163-05,BNB,BOLL_BAND_REVERSION,2024-11-09 00:00:00-05,long,t,,,
BOLL_BAND_MOMENTUM_SOL,0.69,period,85,kstd,2.25,atr_period,20,stop_range,2,32,2024-01-22 22:32:46.238925-05,2024-01-22 22:32:46.238925-05,SOL,BOLL_BAND_MOMENTUM,2024-04-10 01:00:00-04,long,t,,,
BOLL_BAND_MOMENTUM_BTC,0.76,period,30,kstd,1.5,atr_period,10,stop_range,2,31,2024-01-22 22:32:46.238925-05,2024-01-22 22:32:46.238925-05,BTC,BOLL_BAND_MOMENTUM,2024-09-17 01:00:00-04,long,t,,,
BTC_FEAR_GREED_INDEX_MOMENTUM_MATIC,0.55,slowLength,75,fastLength,25,atr_period,25,stop_range,2,27,2024-01-19 02:04:13.972661-05,2024-01-19 02:04:13.972661-05,MATIC,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-04-28 01:00:00-04,long,t,,,
SMA_CROSSOVER_CAKE,0.69,slowLength,45,fastLength,5,atr_period,45,stop_range,2,9,2024-01-11 15:11:53.274887-05,2024-01-11 15:11:53.274887-05,CAKE,SMA_CROSSOVER,2024-09-29 01:00:00-04,long,t,,,
