strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,direction,active,personal_acc,parameter_5,value_5,backtest_period,wfe,sr,l_sr,b_sr,win_rate,trd_num,sim_ret,lev_ret,bnh_ret,sim_mdd,lev_mdd,bnh_mdd,lev_add,bnh_add,expos,leverage,timeframe,is_lev,sim_add
BOLL_BAND_MOMENTUM_LONG_1D_BTC,0.75,,,,,,,,,800,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,BTC,BOLL_BAND_MOMENTUM_LONG_1D,LONG,t,,,,20230413,0.45,2.27,0,2.06,62.5,8,53,0,132.9,-11.8,0,-20.06,0,-5.79,22.47,1,1D,,-2.5
STOCH_OSCILL_MOMENTUM_LONG_1D_AGIX,0.61,,,,,,,,,801,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,AGIX,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20220413,-0.17,1.35,0,1.34,36.4,11,299.8,0,584.4,-49.6,0,-78.94,0,-24.91,34.93,1,1D,,-12.28
STOCH_OSCILL_MOMENTUM_LONG_1D_CKB,0.83,,,,,,,,,803,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,CKB,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,-0.35,1.49,0,2.14,28.6,7,172.8,0,652.5,-30.8,0,-47.53,0,-13.79,34.79,1,1D,,-13.76
STOCH_OSCILL_MOMENTUM_LONG_1D_RUNE,0.55,,,,,,,,,804,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,RUNE,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,1.03,2.91,0,1.95,80,5,178,0,365.6,-11.4,0,-53.12,0,-14.41,29.32,1,1D,,-3.8
STOCH_OSCILL_MOMENTUM_LONG_1D_FTM,0.69,,,,,,,,,805,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FTM,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,-0.23,2.21,0,1.16,55.6,9,174.1,0,90.3,-31.7,0,-67.06,0,-19.12,45.21,1,1D,,-7.19
STOCH_OSCILL_MOMENTUM_LONG_1D_QNT,0.78,,,,,,,,,802,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,QNT,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,t,,,20220412,-0.64,1.46,0,0.4,46.2,13,179.7,0,0.2,-31.7,0,-61.58,0,-27.34,34.79,1,1D,,-9.67
BOLL_BAND_MOMENTUM_LONG_1D_WBTC,0.61,,,,,,,,,270,2024-03-09 06:58:58.992834-05,2024-03-09 06:58:58.992834-05,WBTC,BOLL_BAND_MOMENTUM_LONG_1D,LONG,t,t,,,20230308,0.39,1.47,1.17,1.45,45.5,11,31.5,83.5,205,-9.7,-21.85,-20.09,-4.85,0,22.47,2.44,1D,f,
STOCH_OSCILL_MOMENTUM_LONG_1D_FET,0.66,,,,,,,,,806,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FET,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20220412,-0.88,1.46,0,1.41,41.7,12,308.6,0,659.9,-37.9,0,-84.39,0,-24.68,36.58,1,1D,,-12
STOCH_OSCILL_MOMENTUM_LONG_1D_THETA,0.65,,,,,,,,,807,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,THETA,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,0.42,2.26,0,1.61,66.7,6,178.3,0,188.6,-22.4,0,-53.85,0,-20.53,45.21,1,1D,,-6.95
STOCH_OSCILL_MOMENTUM_LONG_1D_SHIB,0.73,,,,,,,,,809,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,SHIB,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,-0.22,1.66,0,1.31,25,4,160.2,0,154.6,-12.7,0,-41.67,0,-26.39,17.53,1,1D,,-8.09
STOCH_OSCILL_MOMENTUM_LONG_1D_DOGE,0.67,,,,,,,,,810,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,DOGE,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20220412,0.01,1.59,0,0.61,45.2,42,263.5,0,44.7,-17.2,0,-66.44,0,-27.06,44.25,1,1D,,-7.31
STOCH_OSCILL_MOMENTUM_LONG_1D_SOL,0.75,,,,,,,,,812,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,SOL,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,0.47,3.17,0,2.64,44.4,9,378,0,630,-20.3,0,-42.88,0,-11.09,47.12,1,1D,,-5.99
STOCH_OSCILL_MOMENTUM_LONG_1D_BNB,0.82,,,,,,,,,813,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,BNB,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,-0.6,1.62,0,1.37,30,10,42.8,0,90.6,-15.5,0,-41.06,0,-9.19,43.29,1,1D,,-4.09
STOCH_OSCILL_MOMENTUM_LONG_1D_ETH,0.63,,,,,,,,,814,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,ETH,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,,,,20230412,0.63,2.36,0,1.37,55.6,9,55.7,0,82.8,-7.7,0,-27.38,0,-6.75,34.25,1,1D,,-2.13
SMA_CROSSOVER_LONG_1D_AVAX,0.53,,,,,,,,,815,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,AVAX,SMA_CROSSOVER_LONG_1D,LONG,t,,,,20230412,-0.36,1.79,0,1.49,44.4,9,65.3,0,156.7,-12.9,0,-58.6,0,-14.6,30.14,1,1D,,-4.99
SMA_CROSSOVER_LONG_1D_STX,0.73,,,,,,,,,817,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,STX,SMA_CROSSOVER_LONG_1D,LONG,t,,,,20230412,-0.27,1.39,0,1.69,50,2,100.3,0,256.2,-31,0,-51.66,0,-12.57,33.15,1,1D,,-12.31
SMA_CROSSOVER_LONG_1D_FTM,0.66,,,,,,,,,818,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FTM,SMA_CROSSOVER_LONG_1D,LONG,t,,,,20230412,-0.3,1.97,0,1.2,50,4,156.8,0,92.9,-25.2,0,-67.06,0,-19.12,39.45,1,1D,,-10.32
SMA_CROSSOVER_LONG_1D_FET,0.59,,,,,,,,,819,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FET,SMA_CROSSOVER_LONG_1D,LONG,t,,,,20230412,0.3,2.29,0,2.31,60,5,292.2,0,641.4,-19.8,0,-57.87,0,-13.97,53.42,1,1D,,-7.42
SMA_CROSSOVER_LONG_1D_MKR,0.35,,,,,,,,,820,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,MKR,SMA_CROSSOVER_LONG_1D,LONG,t,,,,20230412,1.06,2.22,0,2.41,75,12,57.2,0,367.4,-6.9,0,-24.3,0,-9.44,45.75,1,1D,,-3.05
BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D_RUNE,0.84,,,,,,,,,826,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,RUNE,BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D,LONG,t,,,,20230413,0.32,2.5,0,1.92,50,2,198.4,0,326.7,-18.6,0,-53.12,0,-14.41,19.73,1,1D,,-5.83
